id,gid,x,y,v_x,v_y,radius,time
4,0,7.679777,0.481702,-0.882969,-0.356475,0.200000,1.700000
5,0,3.897874,0.439092,-1.242378,0.045175,0.200000,1.700000
6,0,12.066593,-0.978185,-1.185507,-0.088978,0.200000,1.700000
7,0,9.423062,-0.463795,-1.108361,-0.376619,0.200000,1.700000
8,0,11.694523,-0.450833,-1.136271,0.050393,0.200000,1.700000
9,0,6.860633,-0.747822,-1.025320,-0.391354,0.200000,1.700000
10,0,5.873726,0.119554,-0.763618,-0.209313,0.200000,1.700000
11,0,13.120633,-0.633870,-1.263071,0.044183,0.200000,1.700000
12,0,11.924803,0.559056,-0.991925,0.005535,0.200000,1.700000
13,0,7.196024,-0.124997,-1.001014,-0.234354,0.200000,1.700000
14,0,5.269200,-0.591718,-1.205559,-0.035430,0.200000,1.700000
15,0,12.099085,1.191265,-1.190445,0.086606,0.200000,1.700000
16,0,4.637715,-0.175816,-1.346646,-0.074795,0.200000,1.700000
17,0,5.772767,0.837210,-0.859585,-0.176720,0.200000,1.700000
18,0,8.128320,-0.676803,-1.075992,-0.265552,0.200000,1.700000
19,0,5.902432,-1.277851,-1.184724,-0.312251,0.200000,1.700000
20,1,7.005810,6.103322,-0.214424,-1.209611,0.200000,1.700000
21,1,7.990119,-5.792775,-0.289521,-1.230235,0.200000,1.700000
22,1,6.509820,1.338325,-0.514878,-0.668540,0.200000,1.700000
23,1,8.614354,-4.648032,-0.364980,-1.209996,0.200000,1.700000
24,1,5.492110,3.992611,0.148944,-1.059117,0.200000,1.700000
25,1,8.126412,-3.645259,-0.220584,-1.244445,0.200000,1.700000
26,1,6.832482,4.965847,0.011274,-1.159151,0.200000,1.700000
27,1,4.710014,0.497200,-0.536651,-0.535711,0.200000,1.700000
28,1,4.378720,1.886362,-0.507410,-0.697957,0.200000,1.700000
29,1,4.017806,-0.935355,-0.095523,-1.368157,0.200000,1.700000
30,1,7.281609,2.230300,-0.311883,-0.904582,0.200000,1.700000
31,1,7.195856,-5.984272,-0.061567,-1.262343,0.200000,1.700000
